"","Subject","Age","Gender","Handedness","First_Language","Block","Trial","Phase","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
"1",1,31,"Female","r","h",1,1,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Bottom","n",1083.456871,1.083456871,0
"2",1,31,"Female","r","h",1,2,"EXPERIMENT","Self","Self","Matching","Self","Individual_Self","Self","Top","n",533.541574,0.533541574,0
"3",1,31,"Female","r","h",1,3,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Bottom","n",750.167492,0.750167492,0
"4",1,31,"Female","r","h",1,4,"EXPERIMENT","We","Self","Nonmatching","Self","Individual_Self","Self","Bottom","n",400.207109,0.400207109,1
"5",1,31,"Female","r","h",1,5,"EXPERIMENT","They","They","Matching","They","Group-Stranger","Stranger","Bottom","n",550.195206,0.550195206,0
"6",1,31,"Female","r","h",1,6,"EXPERIMENT","They","You","Nonmatching","You","Individual_Stranger","Stranger","Top","n",450.17827,0.45017827,1
"7",1,31,"Female","r","h",1,7,"EXPERIMENT","They","Self","Nonmatching","Self","Individual_Self","Self","Bottom","n",350.142383,0.350142383,1
"8",1,31,"Female","r","h",1,8,"EXPERIMENT","We","Self","Nonmatching","Self","Individual_Self","Self","Top","n",433.50174,0.43350174,1
"9",1,31,"Female","r","h",1,9,"EXPERIMENT","They","Self","Nonmatching","Self","Individual_Self","Self","Bottom","n",366.851286,0.366851286,1
"10",1,31,"Female","r","h",1,10,"EXPERIMENT","We","They","Nonmatching","They","Group-Stranger","Stranger","Bottom","n",283.511274,0.283511274,1
"11",1,31,"Female","r","h",1,11,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Top","n",400.210663,0.400210663,0
"12",1,31,"Female","r","h",1,12,"EXPERIMENT","Self","You","Nonmatching","You","Individual_Stranger","Stranger","Top","n",300.205964,0.300205964,1
"13",1,31,"Female","r","h",1,13,"EXPERIMENT","We","We","Matching","We","Group-Self","Self","Bottom","n",366.860366,0.366860366,0
"14",1,31,"Female","r","h",1,14,"EXPERIMENT","We","You","Nonmatching","You","Individual_Stranger","Stranger","Bottom","n",466.852826,0.466852826,1
"15",1,31,"Female","r","h",1,15,"EXPERIMENT","They","They","Matching","They","Group-Stranger","Stranger","Bottom","n",483.532909,0.483532909,0
"16",1,31,"Female","r","h",1,16,"EXPERIMENT","Self","We","Nonmatching","We","Group-Self","Self","Bottom","n",516.853595,0.516853595,1
"17",1,31,"Female","r","h",1,17,"EXPERIMENT","We","We","Matching","We","Group-Self","Self","Top","n",400.165261,0.400165261,0
"18",1,31,"Female","r","h",1,18,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Top","n",316.866308,0.316866308,0
"19",1,31,"Female","r","h",1,19,"EXPERIMENT","They","We","Nonmatching","We","Group-Self","Self","Bottom","n",366.865498,0.366865498,1
"20",1,31,"Female","r","h",1,20,"EXPERIMENT","Self","Self","Matching","Self","Individual_Self","Self","Bottom","m",400.164077,0.400164077,1
"21",1,31,"Female","r","h",1,21,"EXPERIMENT","You","Self","Nonmatching","Self","Individual_Self","Self","Top","n",416.862715,0.416862715,1
"22",1,31,"Female","r","h",1,22,"EXPERIMENT","They","They","Matching","They","Group-Stranger","Stranger","Top","n",433.52069,0.43352069,0
"23",1,31,"Female","r","h",1,23,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Bottom","n",516.865834,0.516865834,0
"24",1,31,"Female","r","h",1,24,"EXPERIMENT","They","They","Matching","They","Group-Stranger","Stranger","Bottom","n",350.153042,0.350153042,0
"25",1,31,"Female","r","h",1,25,"EXPERIMENT","They","They","Matching","They","Group-Stranger","Stranger","Top","n",266.858432,0.266858432,0
"26",1,31,"Female","r","h",1,26,"EXPERIMENT","They","They","Matching","They","Group-Stranger","Stranger","Bottom","n",450.208669,0.450208669,0
"27",1,31,"Female","r","h",1,27,"EXPERIMENT","They","Self","Nonmatching","Self","Individual_Self","Self","Top","n",450.171558,0.450171558,1
"28",1,31,"Female","r","h",1,28,"EXPERIMENT","We","They","Nonmatching","They","Group-Stranger","Stranger","Top","n",583.530501,0.583530501,1
"29",1,31,"Female","r","h",1,29,"EXPERIMENT","They","We","Nonmatching","We","Group-Self","Self","Top","m",300.191357,0.300191357,0
"30",1,31,"Female","r","h",1,30,"EXPERIMENT","We","We","Matching","We","Group-Self","Self","Top","n",350.20476,0.35020476,0
"31",1,31,"Female","r","h",1,31,"EXPERIMENT","Self","Self","Matching","Self","Individual_Self","Self","Top","n",266.855273,0.266855273,0
"32",1,31,"Female","r","h",1,32,"EXPERIMENT","Self","We","Nonmatching","We","Group-Self","Self","Top","n",333.541259,0.333541259,1
"33",1,31,"Female","r","h",1,33,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Bottom","n",266.863169,0.266863169,0
"34",1,31,"Female","r","h",1,34,"EXPERIMENT","You","You","Matching","You","Individual_Stranger","Stranger","Top","m",316.863544,0.316863544,1
"35",1,31,"Female","r","h",1,35,"EXPERIMENT","Self","We","Nonmatching","We","Group-Self","Self","Top","n",216.932673,0.216932673,1
"36",1,31,"Female","r","h",1,36,"EXPERIMENT","We","You","Nonmatching","You","Individual_Stranger","Stranger","Bottom","m",350.173966,0.350173966,0
"37",1,31,"Female","r","h",1,37,"EXPERIMENT","You","We","Nonmatching","We","Group-Self","Self","Bottom","n",600.212558,0.600212558,1
"38",1,31,"Female","r","h",1,38,"EXPERIMENT","We","We","Matching","We","Group-Self","Self","Top","n",1083.462004,1.083462004,0
"39",1,31,"Female","r","h",1,39,"EXPERIMENT","We","We","Matching","We","Group-Self","Self","Bottom","n",366.855629,0.366855629,0
"40",1,31,"Female","r","h",1,40,"EXPERIMENT","Self","They","Nonmatching","They","Group-Stranger","Stranger","Bottom","n",300.198463,0.300198463,1
"41",1,31,"Female","r","h",1,41,"EXPERIMENT","Self","Self","Matching","Self","Individual_Self","Self","Top","n",283.532593,0.283532593,0
