"Article","Num_Experiments","Total_Subjects"
"Amodeo_2024_CABN",1,67
"Constable_2019_EPHPP",4,104
"Constable_2020_CE",2,112
"Dalmaso_2024_CC",2,80
"Feldborg_2021_ERPH",1,102
"Haciahmet_2023_Psy",1,40
"Hu_2020_CP",1,44
"Hu_2023_Exp1",1,20
"Kolvoort_2020_HBM",1,31
"Liang_2021_HBM",1,109
"Liu_2023_CP",1,299
"Martinez-Perez_2024_CC",1,32
"Navon_2021_Exp1",1,13
"Navon_2021_Exp2",1,27
"Navon_2021_Exp3",1,28
"Navon_2021_Exp4",1,27
"Perrykkad_2022_BMC",1,334
"Qian_2019_QJEP",2,49
"Schaefer_2019_CP",2,67
"Sui_2014_Exp1",1,24
"Sui_2015_Exp1",1,20
"Sui_2015_Exp2",1,21
"Sui_2023_CC",1,20
"Vicovaro_2022_EPHPP",2,78
"Wozniak_2018_PLOS",2,36
"Wozniak_2022_PR",3,54
"Xu_2021_CP",1,105
"Zhang_2023_NI",1,341
